Salumificio Fratelli Beretta Spa;Via Fratelli Bandiera, 12, 20056 Trezzo sull'Adda MI;https://www.fratelliberetta.com/;02 909851;;MI
Azienda Agricola Donat Roberto;Via XXV Aprile, 13, 34070 San Pier d'Isonzo GO;https://www.aziendadonat.it/;0481 70541;;GO
SALUMERIA AIRAGHI dal 1930;Via Gorizia, 4, 20014 Nerviano MI;;0331 587124;;MI
Gandin Edi;Via S. Zanut, 51, 34070 San Pier D'isonzo GO;;0481 70082;;GO
Cantina Turus;Via dei Campi, 6, 34070 Mossa GO;http://www.cantinaturus.it/;349 475 2916;;GO
Astro Carni;Via S. Rocco, 24, 33030 Basaldella UD;http://www.astrocarni.com/;0432 561412;info@astrocarni.com;UD
Sandri Gino S.N.C.;Via Gorizia, 119/A, 47032 Panighina FC;http://www.sandriginotrippaebudella.it/;0543 448004;info@sandriginotrippaebudella.it;FC
Salumificio Del Ben Ernesto & C. sas;Via Lorenzo Selva, 104B, 33085 Maniago PN;http://www.delben.it/;0427 71211;;PN
Salumificio A. Lovison Srl;Via Ugo Foscolo, N. 18, 33097 Spilimbergo PN;http://www.salumilovison.it/;0427 2068;DSC_9092_600x600@2x.jpg 4F4AE151-4658-46FF-BC06-E766C829FC48_160x160@2x.jpeg Lovison_salumi_MUSETTO_PRECOTTO_480x480@2x.png 7125848F-83FC-4003-BD5E-4024858DC637_160x160@2x.jpeg MUSETTO_CLASSICO_per_web-26_600x600@2x.png SOPRESSA_LOVISON_IN_MANO-calda_1090x_crop_top@2x.png lovison_legatura_salsiccia_600x600@2x.jpg bozzaweb_15_10_2020-05_1090x_crop_top@2x.png SALAME_PUNTA_per_web-07_480x480@2x.png SALAME_per_web-10_480x480@2x.png logo_definitivo_9_13-01_140x@2x.png scatola-musetto-2019-LOVISON_480x480@2x.gif 7ED905DD-C360-4BD7-9339-3C71693AA2F7_160x160@2x.jpeg HOME_PAGE_16_10_2020-07_600x600@2x.png cantina_salami_600x600@2x.jpg F0E42712-7BE7-43E6-8EA1-A8AFBD937CD7_160x160@2x.jpeg IMG_2764m-quadrato_600x600@2x.png;PN
Andrea Furlanis;Via G. Francesco Fortunio, 14, 33170 Pordenone PN;;0434 598194;;PN
Macelleria Salumificio Mio;;http://www.salumificiomio.com/;0434 644904;info@salumificiomio.com;PN
Prosciutteria F.lli Martin;Via della Motta, 20, 33170 Pordenone PN;http://www.fratellimartin.it/;0434 20520;info@fratellimartin.it;PN
Vicenzutto Remigio;Via Murlis, 60, 33080 Zoppola PN;;;;PN
Gierre (S.n.c.);Via Puia, 35, 33080 Prata di Pordenone PN;;;;PN
Salumificio Marescutti Srl;Via Valcellina, 3/M, 33097 Istrago PN;http://www.marescutti.it/;0427 90026;;PN
salumificio;33074 Fontanafredda PN;;;;PN
Antoniazzi Carni;Via E. Torricelli, 9/A, 33080 Porcia PN;;0434 922929;;PN
Macelleria Polesel Gioachino & C Snc;Piazza Italia, 1, 33085 Maniago PN;http://www.pitina.it/;0427 71470;info@macelleriapolesel.it;PN
Macelleria Sapori Di Casa;Via Villanova, 37, 33170 Pordenone PN;;334 957 9586;;PN
Lèbon S.R.L.;Zona Industriale, 33080 Erto PN;http://www.lebon.it/;0427 879249;info@lebon.it;PN
Salumificio Pantarotto;14 Localita' Torricella, San Vito Al Tagliamento, PN 33078, 33098 San Vito al Tagliamento PN;http://www.salumificiopantarotto.it/;0434 874090;info@lorispantarotto.it;PN
Macelleria al Corso;Corso Vittorio Emanuele II, 24/a, 33170 Pordenone PN;http://www.macelleria-al-corso.it/;0434 520780;;PN
Salumificio Coletti Pierino & C.(S.N.C.);Via Pinzano al Tagliamento, 16, 33030 Flagogna UD;http://www.salumificiocoletti.it/;0427 808188;;UD
Gierre S.r.l.;Via Luigi Einaudi, 35, 33080 Prata di Pordenone PN;;0434 610455;;PN
'Salumificio Provesanese S.R.L.';Via Giuseppe Mazzini, 13, 33095 Provesano PN;https://www.gruppodoro.com/;0427 96279;gruppodoro@gmail.com;PN
Salumificio Marescutti;Via Zancan, 9, 33090 Travesio PN;https://www.gruppodoro.com/;;gruppodoro@gmail.com;PN
Partidor Spaccio Carni E Salumi;Via S.Biagio, 8, 33080 San Foca PN;;339 272 1285;;PN
Livio Barbisan;Via Sclavons, 291, 33084 Cordenons PN;;0434 41214;;PN
Macelleria salumeria e gastronomia da Claudio;Via Panciera Conte Camillo di Z, 38, 33080 Zoppola PN;https://macelleria-salumeria-e-gastronomia-da-claudio.business.site/?utm_source=gmb&utm_medium=referral;0434 97038;;PN
Macello Gattel Franco;Via S. Michele, 8, 33084 Cordenons PN;https://www.facebook.com/Spaccio-Carni-Cordenons-101099588883611;0434 931609;;PN
Celussi Luciano - Ingrosso Frutta e Verdura;Via delle Caserme, 22, 33170 Pordenone PN;;0434 366289;;PN
Azienda agricola Pavan Antonino;Via Vial D'Aviano, 30, 33084 Cordenons PN;http://www.campagnamica.it/la-nostra-rete/fattorie/azienda-agricola-pavan-antonino/;0434 930438;azienda.pavan@alice.it;PN
Macelleria Casagrande;Via Sclavons, 18, 33084 Cordenons PN;http://www.facebook.com/Macelleria-Casagrande-Mario-805254546188991;0434 932759;;PN
Macelleria- Spaccio Carni Az.Agr Andreana;Via Vittorio Veneto, 55, 33083 Villotta PN;http://www.stefanuto.com/;0434 630514;;PN
Partidor Spaccio carni e salumi;Via Manzoni, 68, 33080 Bannia PN;;0434 957644;;PN
Dorth 1931 - Macelleria;Via Padre Marco, 13, 33081 Castello d'Aviano PN;http://www.dorth1931.it/;0434 651117;info@dorth1931.it;PN
Del Ben Formaggi;29 Via Maestri Del Lavoro, Via Maestri del Lavoro, 23, 33080 Porcia PN;https://delbenformaggi.it/;0434 593174;info@delbenformaggi.it info@alessiobrusadin.it;PN
Salumificio Pitaccolo G. Srl;Via Malignani, 2, 33050 Castions di strada UD;http://www.salumificiopitaccolo.com/;0432 769779;;UD
Salumificio Pantanali;Viale S. Daniele, 64, 33010 Colugna UD;;0432 401013;;UD
Panificio I Sapori del Grano;Via Cappuccini, 39/A, 33170 Pordenone PN;http://www.panificiosaporidelgrano.it/;0434 241305;;PN
Prosciutti Coradazzi S.N.C.;Via John F. Kennedy, 128, 33038 San Daniele del Friuli UD;https://www.coradazzi.it/;0432 957582;info@coradazzi.it;UD
SARLI'S Baguetterie;Viale Franco Martelli, 9/d, 33170 Pordenone PN;;0434 455772;;PN
Rosticceria Del Ben Ernesto;Via Umberto I, 61, 33085 Maniago PN;http://www.delben.it/;0427 71453;;PN
L'Orto in Città;Via Grandi, 2, 33170 Pordenone PN;http://www.lortoincitta.com/;0434 598191;OiC_marrone_con_campanile_250x@2x.png IMG_20200730_185009_970x@2x.jpg;PN
Macelleria Vicenzutto;Viale delle Repubblica, 48, 33080 Fiume Veneto PN;https://www.vicenzutto.it/;0434 959258;info@vicenzutto.it;PN
Delizie Del Borgo;Via Giosuè Carducci, 37, 33170 Pordenone PN;https://delizie-del-borgo.business.site/?utm_source=gmb&utm_medium=referral;0434 598340;;PN
Salumeria Sassilat;Via Alessandro Manzoni, 81, 30025 Fossalta di Portogruaro VE;http://www.salumeriasassilat.com/;0421 709133;;VE
Prosciuttifici Picaron;Via Battaglione Gemona, 1, 33030 San Daniele del Friuli UD;http://www.picaron.it/;0432 941388;amministrazione@picaron.it spedizioni@picaron.it;UD
Macelleria Moro;Via XX Settembre, 18A, 33080 Roveredo in Piano PN;https://macelleria-moro.business.site/;0434 94147;;PN
Salumificio ZAHRE - Sauris;Via Sauris di Sotto, 33020 Sauris di Sotto UD;http://www.zahre.it/;327 831 4535;;UD
Formaggi Salumi da Maria di Zanette Elda;Via Pasubio Nord, 46, 31016 Cordignano TV;https://www.facebook.com/formaggiesalumidaMaria;0438 995648;;TV
Salumificio ZAHRE S.r.l. di Tavano Elvis - AMPEZZO;Zona Industriale, 07, 33021 Ampezzo UD;http://www.zahre.it/;0433 80406;;UD
Macelleria Salumeria Rosticceria Nadal Pier Giovanni;Via S. S. Rocco e Matteo, 2, 33070 Brugnera PN;;0434 613090;;PN
Macelleria Ciman Sandro;Via Monte Grappa, 99, 33084 Cordenons PN;;0434 930387;;PN
Azienda Agricola Pradarin;Località Pradarin, 7, 33070 Polcenigo PN;http://www.pradarin.it/;333 876 0495;azienda.pradarin@libero.it;PN
SuperOne Pordenone;Via Revedole, 89, 33170 Pordenone PN;https://superone.it/;0434 316565;;PN
Saporito l'amore per i sapori;Via Villafranca, 2, 33080 Orcenico Inferiore PN;http://www.saporitofood.it/;339 876 9685;info@saporitofood.it;PN
INTERSPAR Pordenone (Benedetto Marcello);Via Marcello Benedetto, 7, 33170 Pordenone PN;https://www.despar.it/;0434 544058;diego.novo@studiovatore.com;PN
La Sartoria Vini - Piera1899;Via Pordenone, 33, 33080 San Quirino PN;http://shop.piera1899.com/;345 574 9973;;PN
Prosciutteria Ristorante Paradiso;Via Montereale, 159, 33170 Pordenone PN;https://www.paradiso1937.it/;0434 365419;;PN
Latteria Di Visinale;Via dei Donatori, 10, 33087 Pasiano di Pordenone PN;http://www.latteriadivisinale.it/;0434 610746;;PN
La Degusteria Ferronato 1929;Corso Vittorio Emanuele II, 58, 33170 Pordenone PN;https://www.ferronato1929.it/degusteria;0434 208927;info@ferronato1929.it;PN
Molino Pordenone;Largo S. Giacomo, 1, 33170 Pordenone PN;http://molinopordenone.it/;0434 362421;;PN
Macelleria Matteo;Via Piave, 3/2, 33082 Azzano Decimo PN;https://macelleriamatteo.it/;339 761 7773;matteo.satto@alice.it;PN
CONAD;Viale Michelangelo Grigoletti, 62, 33170 Pordenone PN;https://www.conad.it/ricerca-negozi/negozio.001913.html;0434 362565;;PN
Salumificio Piovesan S.r.l.;Via Cal Lusent, 55, 31040 Pederobba TV;http://www.salumificiopiovesan.com/;0423 688718;info@salumificiopiovesan.com;TV
Brugnolo Distribuzione S.R.L.;Via Sampariva, 3, 33070 Budoia PN;;0434 654276;;PN
DalFaio formaggi e salumi;;https://dalfaio-formaggi-e-salumi.business.site/?utm_source=gmb&utm_medium=referral;393 640 1285;;
Pronto Carni Di Mariuzzi & Cecchin (S.N.C.);Viale Pietro Zancanaro, 31/A, 33077 Sacile PN;http://www.prontocarni.com/;0434 71241;info@prontocarni.com;PN
Macelleria Antonini Noe';Via Piave, 86, 33085 Maniago PN;https://www.noeantonini.it/;0427 71032;;PN
Life 120 Lo Spaccio Cordenons - Pordenone;Via Sclavons, 271, 33084 Cordenons PN;https://life120lospaccio.it/;0434 157 1050;servizioclienti@life120lospaccio.it;PN
Cadoro Supermercati - Pordenone;Viale D'Aviano, 6, 33170 Pordenone PN;https://www.cadoro.it/punti-vendita/pordenone;0434 360606;;PN
Pagotto Carni Macelleria Gastronomia Salumificio;Via Grande di Pezzan, 52, 31030 Pezzan TV;https://www.pagottocarni.it/;0422 397378;pagotto.carni@libero.it;TV
Azienda Agricola Del Zotto Luca;Via Maestra, 109, 33084 Cordenons PN;http://www.unpostoatavola.it/DELZOTTOLUCA/index.html;331 113 8035;info@unpostoatavoala.it ciasadriussa@gmail.com info@unpostoatavola.it;PN
Macelleria Da Loris Di Gregoris Ketti;Piazza 4 Novembre, 14, 33078 San Vito al Tagliamento PN;https://www.lorispantarotto.it/macelleria-da-loris/;0434 80230;info@lorispantarotto.it;PN
